hour_cet,correction_mwh
0,4.380716354138784
1,-3.7930630369593468
2,-7.643692458787124
3,-1.558628306923695
4,-2.1433375737798652
5,0.01850912728520022
6,-4.796588565089156
7,1.454653341894524
8,14.957449221488243
9,37.13432545343774
10,69.79563423796603
11,189.05066907273715
12,197.22937216128648
13,197.84443478794773
14,174.97996845775194
15,55.54180215786014
16,33.5479774945132
17,30.855538012104567
18,29.56761739796719
19,16.598726986598027
20,3.77140762720782
21,0.6946083270058926
22,10.290885847510502
23,10.638995978472318
